Date & Time,Content,User,Location
2022-05-07 15:37:08,b'Check out this item on OpenSea https://t.co/qe3wUnFTou #NFTGiveaways #nft #NFTCommmunity #NFTS #texos',b'PunksProject',b''
2022-05-07 15:37:08,"b'@Drop_Your_NFT_ #VenomPaints artwork!!\n\n""Purp\'d out Ape"" Hand drawn digital painting\n\nPrice: FREE +gas\nSupply: 21/3\xe2\x80\xa6 https://t.co/Y00I0OG0v5'",b'VNMCollections',b'onchain artwork'
2022-05-07 15:37:08,b'@Wandler14 Wat Sothon Wararam Worawihan Classic. This Temple is no.15 of my 99 temples project. \xf0\x9f\x87\xb9\xf0\x9f\x87\xad\n\nPrice : 0.1289\xe2\x80\xa6 https://t.co/7uASkl7idd',b'ChalermpolLues1',"b'Bangkok, Thailand'"
2022-05-07 15:37:08,b'@mosh_nft @TalesFTWild cool!',b'luckyviie',b'moneyfesting'
2022-05-07 15:37:08,"b""Wanna drop here some #nft? \n\nLet's say...no link and ... Polygon network!\nA follow on my foundation would be nice t\xe2\x80\xa6 https://t.co/SoOCpaxMMp""",b'DerKamyu',b'Blockchain'
2022-05-07 15:37:07,b'@cryptokiddo7 An NFT that displays NFTs \xf0\x9f\x94\xa5\xf0\x9f\x8c\xb9\n\nhttps://t.co/pKp5b0VAMJ',b'BadgerDrops',b''
2022-05-07 15:37:07,b'@ColliderCraft @MonkeyFPVeth @eLMopri_NFT @Gabriel66926986 @vineth_ap @PabloMaque99 @Otxue @oficialmabgmai1\xe2\x80\xa6 https://t.co/OMSSuLJUxy',b'StigmaNFT',"b'Caracas, Venezuela'"
2022-05-07 15:37:06,b'@user47 @amine_zary @fakehistoryhunt @WorldFirstThin1 This is an NFT bot account. Discussion is useless.',b'LyleLanley11',b''
2022-05-07 15:37:06,b'@SkurpySocial \xe2\x80\x9cLonely Nights in Montreal\xe2\x80\x9d NFT Collection!\n6 pieces 1/1 edition\n0.05 - 0.07 eth https://t.co/ZHwUIwEYWA',b'JourneyCharming',"b'Montr\xc3\xa9al, Qu\xc3\xa9bec'"
2022-05-07 15:37:05,"b'""Heavy is the head that wears the crown"" 1/1 nft rare unique @rarible 0.04 eth \nCollect:https://t.co/wAMFcQaGXc\xe2\x80\xa6 https://t.co/O6Vws3mW5l'",b'ThugComrades',b'metaverse'
2022-05-07 15:37:05,b'@tanaastronauts Thanks! \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0',b'WackoUniv_NFT',b'Wacko University'
2022-05-07 15:37:05,"b'@VodkaToken With the opportunity to take part in this airdrop, I am very enthusiastic because this is an excellent\xe2\x80\xa6 https://t.co/OElS8jULba'",b'thumbpan_nft',b''
2022-05-07 15:37:04,b'@SoulZ_NFT @GiveawaysSoulz @JukiverseNFT I want to @FaitheWoolf  @GodferyRicardo @SusannaPiers',b'GwendolynMaltz',b''
2022-05-07 15:37:04,b'GM @FudderVerse Happy Saturday #LNFG #NGMI #NFT https://t.co/nq371kSOwM',b'Crypto_figgy',b'En route to moon'
2022-05-07 15:37:04,b'There are crypto projects above $QNT on Coinmarketcap that have the same dapps that EVERY of the other 100 layer1 h\xe2\x80\xa6 https://t.co/49XcgxSVGS',b'SanNL11',b''
2022-05-07 15:37:04,b'@SoulZ_NFT @GiveawaysSoulz @JukiverseNFT lucky @CommonsJune @ConradDorothea1 @ElsaBruce16',b'AgnesSandy4',b''
2022-05-07 15:37:04,b'@Moonsie_NFT @FlipprTool @J777Crypto @darwin_nft star project @CRylenedy @VernonGuillory5 @aajhik @TroyMichaud9 @BrooksLoprest12 .',b'ChesterWhitak12',b''
2022-05-07 15:37:03,b'@YouByBFF You can claim your free BFF PFP (Read Bio): @devonbleak @waterpalsnft @MadisonRada @florzadeh @sheets_nft\xe2\x80\xa6 https://t.co/WC8PAkWBnG',b'AmberClawson11',b''
2022-05-07 15:37:03,"b""\xf0\x9f\x91\x89 I just joined the movement! #BlueZilla's making #MoveZ!\n\n\xf0\x9f\x94\xa5Go and enter to join the movement @movez_app\n\nTG:\xe2\x80\xa6 https://t.co/RU2GnpwIHm""",b'shige06495503',b''
2022-05-07 15:37:03,b'@NFMS_nft Amazing',b'That_peaky',b''
2022-05-07 15:37:03,b'\xf0\x9f\x8e\x89 Just registered for the Tajigen Mintlist Raffle on @PREMINT_NFT! https://t.co/0C4lcAxUtm',b'AhmadianJacob',b''
2022-05-07 15:37:03,b'@SolChiefNFT @YukoclanNFT @findersol_NFT @segonogo   @Hidayah00471785\n\nI wish i win',b'wawankentuzz',b'Indonesia'
2022-05-07 15:37:03,"b""@YouByBFF 'You by BFF' Giveaway winners - read Bio to claim: @about_crypto22 @spinch_55 @Shakirs81698044\xe2\x80\xa6 https://t.co/0CdrFGiujP""",b'BrendaC35047788',b''
2022-05-07 15:37:03,b'@Rgo821 @ThePlagueNFT I think @ThePlagueNFT &amp; @psychedelic_nft are the two strongest communities in the NFT world',b'hgo82',b''
2022-05-07 15:37:02,"b'@kucoincom @XRushio From what I see Bo Kucoin is doing all the work, all the exchanges make me feel better. The NFT\xe2\x80\xa6 https://t.co/curDRP53c9'",b'Crypto2954',b''
2022-05-07 15:37:02,b'@troublescape @scifinft @fx_hash_ Thank you bro! Im so happy to be your 1st NFT!! Welcome!!',b'artpardini',b'ubatuba'
2022-05-07 15:37:02,"b""@YouByBFF 'You by BFF' Airdrop LIVE - view Bio, @dug_jade @whenwemoonsir @Ctb_NFT @Its_TacoBella @Bobbyboooshayy\xe2\x80\xa6 https://t.co/JKqbccondn""",b'LucyTor43720946',b''
2022-05-07 15:37:02,b'@champtgram @juohsa YE AND EXPLAINING THIS TO SOMEONE IS A HARDCORE TASK',b'SeZer_NFT',b''
2022-05-07 15:37:01,b'@WavePunks_NFT @SusyLay_ @DogruyolAhmet @bircahilsoruyor @anliYorumki cool',b'umozum_',b''
2022-05-07 15:37:01,"b""Rudy's Golf Shorts Slay On The Fairway | NFT Market Tanks:  Stephen Colbert's blistering opening monologue last nig\xe2\x80\xa6 https://t.co/R6fTtZar4t""",b'fischermpg',"b'Providence, RI'"
2022-05-07 15:37:01,b'@NFMS_nft @Nafwyd Looks so cool!',b'Kosmox12V',b''
2022-05-07 15:37:00,"b'@WatcherNFT I wish I had one. Nevertheless, I recommend @OttoBlockchain. This is one of the DeFi projects that has\xe2\x80\xa6 https://t.co/yNa9lzsjVM'",b'Shirley_btc',b''
2022-05-07 15:37:00,b'New bears are on sale now!\n\xe2\x9a\xa1 Polygon\n\xe2\x9b\xbd No gas fee\n\xf0\x9f\x92\xb5 Ethereum 0.002\n\nFind out more at OpenSea\n(link in bio)\n\nThanks\xe2\x80\xa6 https://t.co/CQ3DAJ3J6L',b'jpleasures_NFT',b''
2022-05-07 15:37:00,b'@reneziv @Lost_Dogs_NFT done',b'winnndina123',b''
2022-05-07 15:37:00,b'#russian tanks are always hiding. Because they are scared little piggies. And we will find them all. \xf0\x9f\xa4\x9f\xe2\x80\xa6 https://t.co/96cJOlF3nL',b'MilitiaUa',"b'Ukraine, Kyiv'"
2022-05-07 15:36:59,b'@greatmando_nft We totally agree\xf0\x9f\x92\xaa',b'drivers_meta',b'The Garage-Metaverse'
2022-05-07 15:36:58,b'@Sharkanator1026 You must check @MintHuntersNFT. Made for real degen NFT minters. Holders will receive free whiteli\xe2\x80\xa6 https://t.co/vVvh3bNiAt',b'Jude63668937',b''
2022-05-07 15:36:58,b'@Zritkaeth @RandomScnftclub \xf0\x9f\x91\xbd\nTe first #NFT Gallery \xe2\x84\xa2\xef\xb8\x8f\n\nLets find some buyers and collectors together!\xf0\x9f\xa4\x91\n\nRANDOM ITE\xe2\x80\xa6 https://t.co/oi6Km0XzKW',b'RandomScnftclub',b''
2022-05-07 15:36:58,b'@JB__nfts @BAYC2745 @psychedelic_nft Sweet JB jesus\xe2\x80\xa6',b'Masticus1',"b'Calgary, Alberta'"
